frequency (cm^-1),energy transmitted
900.000000,0.416517
899.269600,0.416517
898.539200,0.416517
897.808800,0.416517
897.078400,0.416517
896.348000,0.415619
895.617600,0.415619
894.887200,0.414722
894.156800,0.414722
893.426400,0.413824
892.696000,0.413824
891.965600,0.413824
891.235200,0.412926
890.504800,0.412029
889.774400,0.344704
889.044000,0.342908
888.313600,0.342908
887.583200,0.342908
886.852800,0.409336
886.122400,0.409336
885.392000,0.409336
884.661600,0.408438
883.931200,0.408438
883.200800,0.408438
882.469850,0.407540
881.739450,0.406643
881.009050,0.406643
880.278650,0.406643
879.548250,0.404847
878.817850,0.404847
878.087450,0.403950
877.357050,0.403052
876.626650,0.403052
875.896250,0.402154
875.165850,0.401257
874.435450,0.401257
873.705050,0.399461
872.974650,0.398564
872.244250,0.397666
871.513850,0.395871
870.783450,0.395871
870.053050,0.394075
869.322650,0.393178
868.592250,0.391382
867.861850,0.390485
867.131450,0.387792
866.401050,0.385099
865.670650,0.382406
864.940250,0.379713
864.209850,0.377917
863.479450,0.375224
862.749050,0.373429
862.018650,0.371634
861.288250,0.368941
860.557850,0.367145
859.827450,0.365350
859.097050,0.363555
858.366650,0.361759
857.636250,0.361759
856.905850,0.359964
856.175450,0.359066
855.445050,0.360862
854.714650,0.360862
853.984250,0.359066
853.253850,0.354578
852.523450,0.354578
851.793050,0.352783
851.062650,0.352783
850.332250,0.350987
849.601850,0.350090
848.871450,0.348294
848.140500,0.347397
847.410100,0.346499
846.679700,0.344704
845.949300,0.342908
845.218900,0.341113
844.488500,0.339318
843.758100,0.338420
843.027700,0.337522
842.297300,0.336625
841.566900,0.334829
840.836500,0.333932
840.106100,0.333034
839.375700,0.333034
838.645300,0.331239
837.914900,0.331239
837.184500,0.331239
836.454100,0.331239
835.723700,0.330341
834.993300,0.330341
834.262900,0.329443
833.532500,0.353680
832.802100,0.328546
832.071700,0.327648
831.341300,0.327648
830.610900,0.325853
829.880500,0.324955
829.150100,0.324057
828.419700,0.322262
827.689300,0.322262
826.958900,0.322262
826.228500,0.321364
825.498100,0.321364
824.767700,0.321364
824.037300,0.322262
823.306900,0.322262
822.576500,0.322262
821.846100,0.324057
821.115700,0.324955
820.385300,0.326750
819.654900,0.329443
818.924500,0.331239
818.194100,0.333932
817.463700,0.336625
816.733300,0.339318
816.002900,0.341113
815.272500,0.343806
814.542100,0.345601
813.811150,0.347397
813.080750,0.349192
812.350350,0.351885
811.619950,0.354578
810.889550,0.357271
810.159150,0.359066
809.428750,0.360862
808.698350,0.364452
807.967950,0.365350
807.237550,0.366248
806.507150,0.367145
805.776750,0.367145
805.046350,0.368043
804.315950,0.368043
803.585550,0.368043
802.855150,0.368941
802.124750,0.369838
801.394350,0.370736
800.663950,0.370736
799.933550,0.370736
799.203150,0.370736
798.472750,0.369838
797.742350,0.369838
797.011950,0.369838
796.281550,0.369838
795.551150,0.369838
794.820750,0.369838
794.090350,0.369838
793.359950,0.369838
792.629550,0.369838
791.899150,0.369838
791.168750,0.369838
790.438350,0.369838
789.707950,0.369838
788.977550,0.369838
788.247150,0.368941
787.516750,0.368941
786.786350,0.368043
786.055950,0.368043
785.325550,0.376122
784.595150,0.364452
783.864750,0.361759
783.134350,0.359066
782.403950,0.356373
781.673550,0.352783
780.943150,0.349192
780.212750,0.343806
779.481800,0.338420
778.751400,0.365350
778.021000,0.365350
777.290600,0.365350
776.560200,0.364452
775.829800,0.364452
775.099400,0.366248
774.369000,0.368043
773.638600,0.368043
772.908200,0.368941
772.177800,0.372531
771.447400,0.375224
770.717000,0.377917
769.986600,0.378815
769.256200,0.385099
768.525800,0.389587
767.795400,0.393178
767.065000,0.394973
766.334600,0.401556
765.604200,0.405745
764.873800,0.411530
764.143400,0.414722
763.413000,0.417415
762.682600,0.425494
761.952200,0.427289
761.221800,0.434470
760.491400,0.436266
759.761000,0.441652
759.030600,0.446268
758.300200,0.450628
757.569800,0.450628
756.839400,0.458707
756.109000,0.458707
755.378600,0.458707
754.648200,0.458707
753.917800,0.458707
753.187400,0.463196
752.457000,0.463196
751.726600,0.462298
750.996200,0.463196
750.265800,0.463196
749.535400,0.463196
748.805000,0.463196
748.074600,0.463196
747.344200,0.463196
746.613800,0.463196
745.883400,0.463196
745.152450,0.464093
744.422050,0.464093
743.691650,0.464093
742.961250,0.464093
742.230850,0.464991
741.500450,0.465889
740.770050,0.465889
740.039650,0.467684
739.309250,0.469479
738.578850,0.471275
737.848450,0.471275
737.118050,0.473070
736.387650,0.474865
735.657250,0.474865
734.926850,0.474865
734.196450,0.474865
733.466050,0.473968
732.735650,0.473968
732.005250,0.473968
731.274850,0.473968
730.544450,0.473968
729.814050,0.473968
729.083650,0.473070
728.353250,0.473070
727.622850,0.473070
726.892450,0.473070
726.162050,0.472172
725.431650,0.472172
724.701250,0.472172
723.970850,0.471275
723.240450,0.471275
722.510050,0.470377
721.779650,0.461400
721.049250,0.453770
720.318850,0.446140
719.588450,0.438510
718.858050,0.430880
718.127650,0.425494
717.397250,0.430700
716.666850,0.435368
715.936450,0.434470
715.206050,0.429084
714.475650,0.425494
713.745250,0.421544
713.014850,0.429142
712.284450,0.436739
711.554050,0.444337
710.823100,0.451934
710.092700,0.459156
709.362300,0.463495
708.631900,0.466786
707.901500,0.467684
707.171100,0.467684
706.440700,0.466786
705.710300,0.465889
704.979900,0.464991
704.249500,0.462298
703.519100,0.460503
702.788700,0.460503
702.058300,0.461400
701.327900,0.462298
700.597500,0.462298
699.867100,0.461400
699.136700,0.460503
698.406300,0.460503
697.675900,0.460503
696.945500,0.460503
696.215100,0.460503
695.484700,0.460503
694.754300,0.460503
694.023900,0.459605
693.293500,0.459605
692.563100,0.460503
691.832700,0.460503
691.102300,0.459605
690.371900,0.458707
689.641500,0.458707
688.911100,0.457810
688.180700,0.457810
687.450300,0.457810
686.719900,0.457810
685.989500,0.454219
685.259100,0.454219
684.528700,0.454219
683.798300,0.454219
683.067900,0.454219
682.337500,0.447935
681.607100,0.447935
680.876700,0.447935
680.146300,0.446140
679.415900,0.447038
678.685500,0.445242
677.955100,0.444345
677.224700,0.443447
676.493750,0.442549
675.763350,0.440754
675.032950,0.438061
674.302550,0.437163
673.572150,0.437163
672.841750,0.436266
672.111350,0.431777
671.380950,0.428187
670.650550,0.425494
669.920150,0.423698
669.189750,0.419210
668.459350,0.417415
667.728950,0.417415
666.998550,0.416517
666.268150,0.414722
665.537750,0.413824
664.807350,0.408438
664.076950,0.387792
663.346550,0.395871
662.616150,0.375224
661.885750,0.383303
661.155350,0.382406
660.424950,0.370487
659.694550,0.358568
658.964150,0.346649
658.233750,0.333131
657.503350,0.319614
656.772950,0.306097
656.042550,0.299820
655.312150,0.285458
654.581750,0.271095
653.851350,0.269300
653.120950,0.249551
652.390550,0.235189
651.660150,0.213645
650.929750,0.197958
650.199350,0.184440
649.468950,0.170923
648.738550,0.157406
648.008150,0.143888
647.277750,0.130371
646.547350,0.116854
645.816950,0.103336
645.086550,0.089819
644.356150,0.076302
643.625750,0.079892
642.895350,0.069120
642.164400,0.068223
641.434000,0.065530
640.703600,0.061939
639.973200,0.061939
639.242800,0.061939
638.512400,0.061041
637.782000,0.060144
637.051600,0.060144
636.321200,0.060144
635.590800,0.061041
634.860400,0.061041
634.130000,0.061341
633.399600,0.061640
632.669200,0.061939
631.938800,0.061939
631.208400,0.061939
630.478000,0.062837
629.747600,0.063734
629.017200,0.063734
628.286800,0.063734
627.556400,0.063734
626.826000,0.064632
626.095600,0.064632
625.365200,0.066427
624.634800,0.067325
623.904400,0.069120
623.174000,0.069120
622.443600,0.101436
621.713200,0.105925
620.982800,0.147217
620.252400,0.170108
619.522000,0.192998
618.791600,0.215889
618.061200,0.238779
617.330800,0.261670
616.600400,0.284560
615.870000,0.307451
615.139600,0.330341
614.409200,0.317774
613.678800,0.328546
612.948400,0.349192
612.218000,0.349092
611.487600,0.378815
610.757200,0.378815
610.026800,0.378815
609.296400,0.378815
608.566000,0.392280
607.835600,0.392280
607.104650,0.392280
606.374250,0.403052
605.643850,0.403950
604.913450,0.405745
604.183050,0.405745
603.452650,0.415619
602.722250,0.415619
601.991850,0.415619
601.261450,0.417415
600.531050,0.418312
599.800650,0.428187
599.070250,0.428187
598.339850,0.427289
597.609450,0.429084
596.879050,0.429084
596.148650,0.391382
595.418250,0.436266
594.687850,0.437163
593.957450,0.438061
593.227050,0.438061
592.496650,0.438959
591.766250,0.438959
591.035850,0.419210
590.305450,0.420108
589.575050,0.421005
588.844650,0.422801
588.114250,0.423698
587.383850,0.425494
586.653450,0.427289
585.923050,0.428187
585.192650,0.429982
584.462250,0.430880
583.731850,0.431777
583.001450,0.433573
582.271050,0.433573
581.540650,0.435368
580.810250,0.435368
580.079850,0.435368
579.349450,0.436266
578.619050,0.436266
577.888650,0.436266
577.158250,0.436266
576.427850,0.436266
575.697450,0.437163
574.967050,0.438061
574.236650,0.438959
573.506250,0.438959
572.775300,0.438959
572.044900,0.438959
571.314500,0.437163
570.584100,0.437163
569.853700,0.435368
569.123300,0.435368
568.392900,0.433573
567.662500,0.432675
566.932100,0.430880
566.201700,0.429982
565.471300,0.428187
564.740900,0.426391
564.010500,0.425494
563.280100,0.424596
562.549700,0.422801
561.819300,0.422801
561.088900,0.421005
560.358500,0.420108
559.628100,0.419210
558.897700,0.417415
558.167300,0.417415
557.436900,0.415619
556.706500,0.415619
555.976100,0.413824
555.245700,0.413824
554.515300,0.412029
553.784900,0.412029
553.054500,0.410233
552.324100,0.408438
551.593700,0.406643
550.863300,0.404847
550.132900,0.404847
549.402500,0.403052
548.672100,0.400359
547.941700,0.398564
547.211300,0.396768
546.480900,0.396768
545.750500,0.394973
545.020100,0.394075
544.289700,0.392280
543.559300,0.390485
542.828900,0.389587
542.098500,0.387792
541.368100,0.387792
540.637700,0.385996
539.907300,0.384201
539.176900,0.382406
538.445950,0.380610
537.715550,0.378815
536.985150,0.376122
536.254750,0.374327
535.524350,0.372531
534.793950,0.369838
534.063550,0.367145
533.333150,0.364452
532.602750,0.362657
531.872350,0.361759
531.141950,0.359964
530.411550,0.359964
529.681150,0.358169
528.950750,0.358169
528.220350,0.356373
527.489950,0.354578
526.759550,0.352783
526.029150,0.350090
525.298750,0.348294
524.568350,0.345601
523.837950,0.343806
523.107550,0.341113
522.377150,0.338420
521.646750,0.334829
520.916350,0.331239
520.185950,0.329443
519.455550,0.324955
518.725150,0.323160
517.994750,0.319569
517.264350,0.316876
516.533950,0.315081
515.803550,0.313285
515.073150,0.311490
514.342750,0.309695
513.612350,0.307899
512.881950,0.305206
512.151550,0.302513
511.421150,0.299820
510.690750,0.296230
509.960350,0.293537
509.229950,0.291741
508.499550,0.289946
507.769150,0.288151
507.038750,0.286355
506.308350,0.286355
505.577950,0.284560
504.847550,0.282765
504.116600,0.281867
503.386200,0.279174
502.655800,0.276481
501.925400,0.273788
501.195000,0.271993
500.464600,0.271095
499.734200,0.269300
499.003800,0.268402
498.273400,0.266607
497.543000,0.264811
496.812600,0.263914
496.082200,0.262118
495.351800,0.259425
494.621400,0.257630
493.891000,0.255835
493.160600,0.254039
492.430200,0.251346
491.699800,0.248654
490.969400,0.245961
490.239000,0.244165
489.508600,0.240575
488.778200,0.237882
488.047800,0.234291
487.317400,0.231598
486.587000,0.228905
485.856600,0.228007
485.126200,0.226212
484.395800,0.224417
483.665400,0.221724
482.935000,0.219928
482.204600,0.217235
481.474200,0.214542
480.743800,0.211849
480.013400,0.210054
479.283000,0.205566
478.552600,0.202873
477.822200,0.200180
477.091800,0.197487
476.361400,0.194794
475.631000,0.219031
474.900600,0.188510
474.170200,0.184919
473.439800,0.181329
472.709400,0.179533
471.979000,0.175943
471.248600,0.173250
470.518200,0.169659
469.787250,0.167864
469.056850,0.167864
468.326450,0.166068
467.596050,0.161580
466.865650,0.159785
466.135250,0.157989
465.404850,0.156194
464.674450,0.152603
463.944050,0.148115
463.213650,0.144524
462.483250,0.140934
461.752850,0.139138
461.022450,0.136445
460.292050,0.131957
459.561650,0.128366
458.831250,0.121185
458.100850,0.117594
457.370450,0.115799
456.640050,0.113106
455.909650,0.110413
455.179250,0.108618
454.448850,0.106822
453.718450,0.105027
452.988050,0.103232
452.257650,0.102334
451.527250,0.100539
450.796850,0.098743
450.066450,0.096948
449.336050,0.095153
448.605650,0.094255
447.875250,0.092460
447.144850,0.091562
446.414450,0.088869
445.684050,0.086176
444.953650,0.084381
444.223250,0.081688
443.492850,0.078097
442.762450,0.075404
442.032050,0.073609
441.301650,0.071813
440.571250,0.070916
439.840850,0.069120
439.110450,0.068223
438.380050,0.067325
437.649650,0.065530
436.919250,0.065530
436.188850,0.063734
435.457900,0.062837
434.727500,0.061041
433.997100,0.059246
433.266700,0.057451
432.536300,0.055655
431.805900,0.053860
431.075500,0.052065
430.345100,0.050269
429.614700,0.048474
428.884300,0.046679
428.153900,0.043986
427.423500,0.042190
426.693100,0.040395
425.962700,0.038600
425.232300,0.036804
424.501900,0.035009
423.771500,0.032316
